 Knight Shield 		97990  		
 Iron Shield 		97991  		
 Axelord Shield		97992  		
 Herald Shield 		97993  		
 Dark Shield 		97994  		
 Goddess Shield 	97995  		
 Shaman Shield 		97996  		
 Medusa Shield 		97997  		
 Skull Shield 		97998  		
 Fire Shield 		97999  		
 Alucard Shield 	9799A  	
 Sword Of Dawn 		9799B  		
 Basilard 		9799C  		
 Short Sword 		9799D  		
 Combat Knife 		9799E  		
 Nunchaku 		9799F  		
 WereBane 		979A0  		
 Rapier 		979A1  		
 Karma Coin 		979A2  		
 Magic Missile 		979A3  	
 Red Rust 		979A4  		
 Takemitsu 		979A5  		
 Shotel 		979A6  		
 Orange 		979A7  		
 Apple 			979A8  		
 Banana 		979A9  		
 Grapes 		979AA  		
 Strawberry 		979AB  		
 Pineapple 		979AC  		
 Peanuts 		979AD  		
 Toadstool 		979AE  		
 Shiitake 		979AF  		
 Cheese Cake 		979B0  		
 Short Cake 		979B1  		
 Tart 			979B2  		
 Parfait 		979B3  		
 Pudding 		979B4  		
 Ice Cream 		979B5  		
 Frankfurter 		979B6  		
 Hamburger 		979B7  		
 Pizza 			979B8  	
 Cheese 		979B9  		
 Ham and Eggs 		979BA  	
 Omelette 		979BB 
 Morning Set 		979BC  		
 Lunch A 		979BD  		
 Lunch B 		979BE  	
 Curry Rice 		979BF  	
 Gyros Plate 		979C0  	
 Spaghetti 		979C1  		
 Grape Juice 		979C2  	
 Barley Tea 		979C3  	
 Green Tea 		979C4  		
 Natou 			979C5  	
 Ramen 			979C6  		
 Miso Soup 		979C7  	
 Sushi 			979C8  		
 Pork Bun 		979C9  	
 Red Bean Bun 		979CA  		
 Chinese Bun 		979CB  	
 Dim Sum Set 		979CC  		
 Pot Roast 		979CD  		
 Sirloin 		979CE  	
 Turkey 		979CF  
 Meal Ticket 		979D0  	
 Neutron Bomb 		979D1  	
 Power Of Sire 		979D2  	
 Pentagram 		979D3  	
 Bat Pentagram 		979D4  		
 Shuriken 		979D5  		
 Cross Shuriken 	979D6  	
 Buffalo Star 		979D7  		
